name,geometry_resto
Dray Martina,POINT (441035.51519038004 4475178.633488467)
Zara,POINT (440771.0350941238 4474705.066661573)
Chan,POINT (440764.7816659222 4474682.426331543)
Komainu - El guardían del ramen,POINT (440564.1783205737 4476680.371678213)
Mandioca,POINT (440221.89276020136 4475938.782097084)
La Rochela,POINT (440411.35539044946 4476130.225201114)
Esmeralda,POINT (439392.78657392814 4480226.026980428)
Yatai Market,POINT (440274.7517540014 4473833.273089723)
Josemi,POINT (440870.76061562676 4474526.080566547)
Pasacalles,POINT (441363.31883691036 4474635.882148457)
a.n.E.l,POINT (441446.50075128395 4474677.736282524)
Fénix,POINT (441476.4866904237 4474640.159571144)
44 Sushi Bar,POINT (440861.7016698072 4474589.803166479)
Las Bóvedas de Cibeles,POINT (440915.36044034484 4474503.294496158)
Taberna Los López,POINT (439734.4846855619 4474368.030709734)
Taberna El Zorzal,POINT (439695.4172311434 4474334.665401686)
Amicis,POINT (439817.78911681334 4474057.885770885)
DeAtún,POINT (440690.17109941534 4474949.110250863)
La Chuequita,POINT (440812.8206506131 4474924.507442762)
Hermanos Vinagre,POINT (440872.18285845144 4474925.792833414)
Lola & Co,POINT (440921.0613104638 4474898.288510535)
Mortadella,POINT (441085.09799922124 4474892.268505994)
New York Burger,POINT (441402.33983431844 4474834.8668169975)
Più Trentanove,POINT (441775.53934071114 4479300.322899961)
NuNa,POINT (439366.0234625311 4476551.869489659)
Shibari,POINT (439870.3478477134 4473163.216830363)
La Pizzateca,POINT (440668.0259405294 4473802.776616752)
La Pagoda,POINT (441719.4015521295 4479422.268200401)
Yokohama,POINT (442598.6128177645 4477678.018342438)
A Lareira,POINT (440236.1696778651 4473656.436252113)
Bismillah,POINT (440362.2966727871 4473423.217602854)
Restaurante Casa Pedro,POINT (441779.04548368056 4483197.64495773)
El Bosco,POINT (442645.4241963193 4480294.012581245)
La Uramakeria Sushi,POINT (440607.4632051152 4477732.075581509)
El Escondite de Villanueva,POINT (441801.1590571202 4474860.587981275)
Camino Food & Drinks,POINT (441668.250195671 4477989.021981456)
Comete México!,POINT (440622.6420188919 4477517.977874607)
Umiko,POINT (440847.9041137623 4474335.740422326)
Saporem Ventura,POINT (440708.0534755072 4474149.8214151645)
,POINT (441251.9912417096 4476554.381681052)
Krado Madrid,POINT (431910.02155770356 4479431.700922362)
Los Porfiados,POINT (440696.71447444643 4473515.342774935)
Cuevas El Secreto,POINT (440385.8042303993 4474140.765541636)
Royal Cantonés,POINT (440368.5087256803 4470513.56235387)
Mesón A'Barca,POINT (440339.0805597076 4470554.424386532)
A'Barca Muxia,POINT (440350.3885814482 4470551.359552821)
La Perdiz de Somontes,POINT (435823.3411012207 4482760.356553163)
Carpio Somontes,POINT (435988.0541962706 4482258.592218971)
El Inca,POINT (440938.9283638109 4474903.709134143)
Amazonico,POINT (441879.7193106719 4475011.657441217)
La Cuchara,POINT (442764.25397386466 4476023.965061724)
Sushirakki,POINT (440477.5125907808 4481494.885718238)
Tokidoki,POINT (439697.7086068449 4480753.348641307)
Tierra,POINT (440240.6975080432 4476165.175101082)
80 grados,POINT (443492.88351117383 4484425.668221972)
Goiko Grill,POINT (443412.64824950485 4484505.490368768)
Momo Restaurant,POINT (440772.9787728539 4474709.469365617)
El Perro y La Galleta - Restaurante Retiro,POINT (441687.5225611564 4474661.459954032)
La Bodeguita de Fábula,POINT (441734.0958272029 4474666.426104489)
Casa Domingo,POINT (442019.54398778727 4474765.761290339)
La Vanduca,POINT (441628.49867758877 4474723.46124988)
De Pe a Pa,POINT (442892.32306197344 4483037.909912125)
Petisqueira,POINT (440675.10265985946 4475440.867015551)
Artium,POINT (440433.6458347315 4476297.579621483)
Cilantro,POINT (440452.49155583116 4476239.739507456)
Matako Sushi,POINT (440526.17257673363 4475704.867126068)
mune,POINT (440643.1804362329 4474022.310942919)
Ember,POINT (440733.23269413016 4473992.725779831)
DF Bar,POINT (440576.05493818404 4475543.744663657)
La mesa puesta II,POINT (442604.03651103843 4484657.499481164)
La Estupenda,POINT (442576.25041491614 4484649.220864107)
La Taberna de Pepe,POINT (442521.0365503974 4484620.894349681)
Morgana,POINT (440790.93385562376 4474864.514723653)
Maki,POINT (442568.13077805284 4484480.185063118)
Ichiwaka,POINT (442542.4302033299 4484477.662939253)
Taberna Jam,POINT (440935.8451601905 4473503.198473518)
Garden,POINT (442757.6558986253 4484063.761832241)
Burnout,POINT (440435.62844790495 4474698.488605404)
,POINT (443140.91914022143 4483970.0541918)
La Tagliatella,POINT (443166.0739806064 4483945.185886502)
Do Meigo,POINT (442984.0685805351 4483935.704473884)
Mar Food,POINT (443077.6205023711 4484028.71508718)
Otro Jerezano,POINT (443124.3426648761 4484105.565154196)
Gaeta,POINT (443085.7586392738 4483568.504650657)
La Grosella,POINT (443093.82510758773 4483560.6283084145)
Makitake,POINT (443094.9463135835 4483539.828068992)
Marsellus Barbacoa,POINT (443057.5688351861 4483499.894692072)
Juanchi's Burgers,POINT (443043.35417973134 4483483.818095137)
Oam Thong,POINT (442986.20940082235 4483456.512954403)
Go Sushing,POINT (443037.37228096137 4483571.759420394)
Patacón Pisao,POINT (441074.30208538886 4472840.334518977)
Antonia Pizza,POINT (440273.4223743797 4475329.72047885)
Kunfu,POINT (440677.7002405162 4474931.98071036)
Mundo Kebab,POINT (440646.2852387491 4474847.364831661)
Carmen's,POINT (433143.25962888147 4477444.259562753)
El Vagón de la Cerveza,POINT (433459.31482372375 4477755.24581203)
Tapea Gastrobar,POINT (433454.8104792577 4477776.12227622)
Nueva China,POINT (440253.3286520795 4481110.332359473)
Mawersa,POINT (446770.4294622495 4476464.663355531)
Guito's,POINT (433553.64586226846 4479698.482701031)
Embassy,POINT (433558.3892959807 4479709.430537284)
Restaurante Top One,POINT (441891.0367837531 4478837.225378571)
El Rincón Asturiano,POINT (441450.58645316324 4472681.03573412)
Brooklyn,POINT (441307.3837183724 4472724.736837362)
La Batea,POINT (440734.2024021281 4473898.573543641)
Monster Sushi,POINT (441174.6719359327 4475641.603020886)
Al Sur,POINT (441192.1323972113 4475659.238138306)
El Abrazo de Vergara,POINT (439677.14781601465 4474349.121161288)
Tierra del Queiles,POINT (441620.0323636221 4475336.748722458)
Kon-Tiki,POINT (441248.43677177455 4476928.491370647)
Tome y lucas,POINT (441039.60902219056 4475033.660003304)
Landania,POINT (442764.7259351127 4473290.160658018)
Taberna Maceiras,POINT (440949.41630665626 4473835.455684186)
Pad Thai,POINT (441211.93143768783 4473545.353773045)
Taj,POINT (440978.11580638314 4474302.577782895)
Il Piccolino della Farfalla,POINT (440528.51280656364 4473943.616845581)
La Polonesa,POINT (442330.9551796236 4472839.924922597)
Trattoria Malatesta,POINT (440013.1511433269 4474231.954936958)
Leyenda Oriental,POINT (439841.2110378919 4474535.24889284)
Prep' La Crêp,POINT (441242.7661288574 4475306.450564729)
B13 bar,POINT (440318.8550397336 4474826.375789888)
Kintaro,POINT (441105.9807177684 4476681.210021003)
Qing Ping Guo,POINT (440738.7988777696 4474601.33048478)
Pulpo,POINT (440888.9959709534 4472468.267933142)
Narciso,POINT (441265.9109940029 4475763.52746175)
Vips,POINT (441351.3418216009 4476340.181724264)
Sushi Bar,POINT (439882.85211045167 4474199.940828902)
El Rincón de Pangpang,POINT (440707.95228990616 4474073.727268281)
La Cazuelita,POINT (440886.97728272254 4473653.775121152)
Hamburguesería Don Oso,POINT (440390.6801427411 4474058.24888872)
Cruz Blanca,POINT (443557.35820472345 4471003.958545826)
Yoshi,POINT (442342.938515136 4474753.431653389)
La Tagliatella,POINT (442456.49559702555 4474762.349787779)
O'Donell,POINT (442355.9022379631 4474804.228270569)
Ginos,POINT (442443.5349874877 4474800.269082648)
La Cochera,POINT (442425.3423002752 4474800.930527224)
Taberna del Chato,POINT (440383.3139962574 4474035.662117616)
Goiko Grill,POINT (440740.23978049157 4474053.746150144)
La Finca de Susana,POINT (440575.0296057847 4474170.933487255)
Goiko Grill,POINT (442073.6106955556 4474931.408615007)
Restaurante Buen Gusto,POINT (440705.5884207593 4472588.836207857)
Trattoria Pulcinella,POINT (440914.99928261904 4475121.548340021)
Gracias Padre,POINT (440849.01919315284 4474854.442952313)
La Perdizione,POINT (441106.791042504 4471355.429288802)
Tapas y Arepas,POINT (440496.9415702225 4472240.985258619)
68 Yong Tai,POINT (442181.1744484266 4471960.990901918)
A'Gaviotiña,POINT (440778.2262937439 4467743.748349279)
Delicias del Museo,POINT (440709.2833826724 4470912.693014644)
El Tenedor,POINT (441058.80880192516 4472087.823791356)
Takos al Pastor,POINT (440041.06130298646 4474037.314575184)
Thai Orchid,POINT (440879.04048687866 4474667.992607824)
Al Jaima La Cocina del Desierto 2,POINT (440831.22067221237 4474702.959554359)
Olivia te cuida,POINT (440975.5510553275 4475242.84547992)
Francesca’s,POINT (442465.3355069735 4474285.877142848)
Nugu Burger,POINT (441074.4559005253 4473525.186201418)
,POINT (441273.89036085346 4468775.004029972)
Mesón O'Grove,POINT (438483.09640811477 4473915.228573252)
Gaudium,POINT (440702.58015686716 4476071.267955661)
Airiños,POINT (440742.5797331615 4476102.999175934)
La Entretenida,POINT (440801.3246115281 4473959.61855495)
Vi Cool,POINT (440557.8752878504 4473935.680152785)
Bazaar,POINT (440834.71255118365 4474755.182780476)
Juancho's BBQ,POINT (441142.3350874318 4471565.0181704555)
Bósforos,POINT (440648.8996313887 4474844.324749806)
Tierra Burrito Bar,POINT (440215.36940491176 4477722.007835604)
Cafetería Lily,POINT (439842.6658304551 4474974.457992135)
Timesburg,POINT (442455.5520557357 4476602.4749131845)
Koldovinia Taberna,POINT (446004.78130232246 4476555.971944378)
Koldovinia Taberna,POINT (445956.3198978698 4476538.771414012)
Pura Vida Vegan Bar,POINT (439839.1499127755 4473522.306949616)
Puerta al sol by Chicote,POINT (440245.68211261526 4474282.515322336)
Cookaluzka,POINT (443226.2228738076 4473293.002216567)
Pulcinella,POINT (440916.9125867189 4475122.121592179)
El Tejar de Somontes,POINT (436170.7903580794 4481372.054166038)
Bayres Beef,POINT (442706.06838927383 4477728.824635712)
Kebab Madrid Barajas,POINT (450712.7002696852 4480287.21086734)
Cafetería Blanco,POINT (444838.88443128724 4476560.913695088)
Menta y Cilantro,POINT (451151.23608909437 4477419.715272193)
El Brasero de Don Pedro,POINT (451557.2529494459 4477790.674368117)
El Tenedor de Oro,POINT (448436.77590221574 4477776.588422154)
Honest Greens,POINT (441689.1865142746 4475564.472915856)
El perro y la galleta,POINT (441685.5840539721 4474658.744278733)
Taberna La Sartén del Conde,POINT (439716.61381877353 4473948.768601352)
Campanilla,POINT (450697.6652328362 4480384.28391595)
El capote,POINT (444316.3838274468 4475968.710814035)
Restaurante Sabores,POINT (450929.25453044043 4477919.032756619)
Lied Restauración,POINT (450929.370652073 4477938.047076919)
Oportuno,POINT (442514.828438716 4474109.286540545)
Restaurante DeAtún,POINT (440736.69170455553 4477236.104568668)
Restaurante la Buena Vida,POINT (441122.8949353672 4474932.466693064)
Wok Shanghái,POINT (446808.4982255387 4475945.28803401)
Taberna Eulogio,POINT (440846.4958321444 4473516.24666578)
Livin' Japan,POINT (440651.30566507677 4473569.52902638)
La Colonial de Huertas,POINT (440955.2505381232 4473832.867693314)
Portobello,POINT (441328.2677606589 4479495.957938991)
Kuoco 360 Food,POINT (440754.879169493 4474827.123971707)
Ôven,POINT (441164.46244482195 4473436.895537826)
Toga,POINT (440040.4763739235 4473623.564261791)
Dstage,POINT (440930.8910097834 4475117.515645602)
Origen Taberna Madrid,POINT (439235.77596861526 4475350.106009194)
Ramón Freixa,POINT (441788.6736567634 4475545.771918018)
Vinoteca Moratin,POINT (440996.70549575693 4473777.559916638)
Leña,POINT (441342.40400324966 4476706.629426984)
La Candela Restó,POINT (439678.1514688213 4474311.470674767)
la (verdadera) cueva de 1900,POINT (440122.5650224394 4474296.441010485)
El Urogallo,POINT (447529.21314831957 4478663.165492486)
Hamburguesa Nostra,POINT (447561.5343318115 4478551.522830514)
Quatro,POINT (447478.6798584603 4478583.862286605)
Lan Lan Oriental,POINT (447468.449167733 4478574.753910087)
La Tagliatella,POINT (447492.8360088705 4478600.1585021475)
Foster's Hollywood,POINT (447469.5269546541 4478493.91214902)
Tao 369,POINT (447447.85003504134 4478474.1054857895)
Rincón del Capricho,POINT (448830.5416465247 4478295.522516196)
La Gran Pulpería,POINT (447078.78558879765 4478682.531682991)
Cazorla,POINT (447040.1767344453 4478752.871459102)
El Fogón Asturiano,POINT (445004.8764182504 4476086.575812639)
El Secreto,POINT (445110.05000030115 4476128.508467477)
Baisakhi,POINT (440399.1740292962 4473484.033473313)
100 Montaditos,POINT (440976.5562582253 4474148.668541158)
Lizarrán,POINT (451026.17410029494 4480543.3168780785)
100 Montaditos,POINT (451014.21461061295 4480531.917252264)
La Capri,POINT (451054.1709451141 4480544.16602217)
La Torino Restaurante Parilla,POINT (450982.68864672486 4480498.322700157)
La Consentida,POINT (450661.4972711436 4480343.827867455)
Martes13,POINT (450682.82226230187 4480421.690530365)
Restaurante Ottica,POINT (443572.77539346844 4477264.309606835)
Coto,POINT (443008.36890630005 4484926.495731374)
O'Nabo de Lugo,POINT (442397.9380406919 4475077.812847094)
El Mono de la Pila,POINT (440723.1781224351 4473700.780632054)
Egeo,POINT (440514.44045462576 4473559.079932202)
El Buha,POINT (440772.90904922585 4474957.258840418)
Kundan,POINT (443258.23276996735 4484745.527532516)
Chess,POINT (446544.5298924775 4469833.070335844)
La Buena Mesa,POINT (443014.6653170369 4476127.967436318)
Comedor,POINT (438238.92682355864 4477131.034338726)
Pizzería 2 amigos,POINT (443073.84023109067 4476497.801090547)
Casa Toni,POINT (440453.5144245343 4474117.637621564)
Dragon City Restaurante Chino,POINT (443180.46323573444 4476132.858023163)
El Rincón Murciano,POINT (442909.71322291845 4476300.415367145)
La Traviesa,POINT (441676.6549077151 4476485.014600928)
Bestia Kitchen & Bar,POINT (441704.8006499803 4476495.174658216)
Pizzie & Dixie,POINT (440372.22627753066 4475246.45567936)
La Mordida,POINT (439688.08105134213 4473928.950245869)
Running Sushi Akihabara,POINT (439496.1955408885 4475176.704131452)
Ultramarin,POINT (440748.4990118087 4471808.101764039)
Don Giovanni,POINT (442286.7794252053 4473231.72689607)
87 Millas,POINT (439768.8352252497 4476572.630971219)
Casa Ángel,POINT (448398.22516237875 4475042.870073215)
El Fogón de Pedro,POINT (449823.32207205385 4472832.482023088)
Saddle,POINT (441376.180642522 4475440.689432844)
100 Montaditos,POINT (450210.22725639265 4477584.348925814)
Il Veneziano Ristobar,POINT (450190.31443976925 4477488.606611666)
Ribs,POINT (450181.6384989449 4477482.181646673)
Orient,POINT (450207.7234203244 4477471.784648554)
La Sureña,POINT (450226.0221750007 4477513.545066258)
Vips,POINT (450183.7173046024 4477626.407284581)
Ginos,POINT (450210.5885655091 4477638.694411046)
Brasa y Leña,POINT (450152.4022789623 4477481.621349674)
Taberna de la Ilustración,POINT (440462.6145883117 4481507.015337531)
Lamucca,POINT (441762.7264594735 4476500.996017779)
Sumer,POINT (440248.49884160317 4476321.222012809)
Restaurante DeAtun,POINT (440698.8497547646 4476980.166588144)
El Capricho de Abascal,POINT (440985.74699774757 4476651.462830003)
A'Barra,POINT (441664.2977274166 4476672.490049512)
Tandoori Masala,POINT (439735.75946554507 4476697.491454971)
Ginos,POINT (443100.5483875289 4480846.527402609)
Finca Astilbe,POINT (443492.6909216284 4486022.104466964)
The Place To Be,POINT (440929.85441761307 4475321.820399594)
Sultan Palast,POINT (440735.6841651633 4474646.268366792)
Happy Green,POINT (440771.6413604131 4474748.509845761)
Hamburguesa Nostra,POINT (441762.28955906624 4474673.167106001)
La Tasca del Retiro,POINT (442363.7783872588 4474666.7198983915)
Tenderete,POINT (442450.82316960394 4474641.219061696)
Casa Santoña,POINT (440563.4140182737 4474666.370232856)
Sin Reservas,POINT (442507.5292472411 4474428.706836872)
Patatin Company,POINT (442434.9538110621 4474399.802767346)
Doli Restaurante Hindu,POINT (441989.96913777443 4476282.437210791)
Alcaravea,POINT (439730.9708847059 4476729.566662109)
Cebo,POINT (440731.6670529291 4474210.0444391435)
Toga,POINT (440018.7277320908 4473622.372817395)
100 Montaditos,POINT (440009.75284001045 4474207.005620858)
Asia Té,POINT (441920.13333854877 4480269.035700603)
Hot Pot,POINT (440354.2919788364 4470768.023305652)
Puturru De Foie,POINT (440812.23105446424 4474835.873333605)
La Imperial,POINT (440818.62445542973 4474834.368666074)
X Bowl,POINT (439973.4487260629 4474546.24418184)
La Canica,POINT (447462.45851351594 4478568.113415672)
La Chulapa de Alcalá,POINT (440778.68497357913 4474444.840171262)
Trikki Nueva Orleans Traditional Cuisine,POINT (440627.95879016165 4476547.390221509)
La Pizzería,POINT (440990.7608923504 4474803.095294061)
Ana la Santa,POINT (440485.8568876107 4473999.935898349)
Restaurante Atlantic,POINT (440711.4968476452 4474133.553934524)
La Leyenda del Agave,POINT (442075.4383685383 4475244.731926507)
,POINT (432195.1130576379 4470499.301896316)
Con Amor,POINT (441066.60512946674 4476872.673489904)
Mami Burguer,POINT (445828.9793183477 4473526.274978336)
Plaza Perú,POINT (442580.0221306145 4479057.774614374)
Taberna Camino Viejo,POINT (444821.89648467035 4475952.938142271)
Mesón el Puchero,POINT (444869.8776379389 4475887.835345241)
Izariya,POINT (441207.4248637345 4476401.641868601)
Mesón A Ría de Noia,POINT (440154.88714783883 4472207.529201585)
Cangas,POINT (440184.3749399126 4472164.467798282)
Bibo,POINT (441628.46225302824 4476344.788929388)
Davanti,POINT (440882.2355304605 4474840.7491075015)
Mis Tradiciones,POINT (439670.49428157724 4472365.907771087)
Casa Benteveo,POINT (440455.23104607174 4473711.983951001)
La Chamartina,POINT (441787.059712568 4479170.299495026)
Sumo,POINT (430886.77505193185 4480029.201648164)
El Luarqués,POINT (440693.640884657 4474095.464523883)
Aceytuna,POINT (440284.30966507393 4475993.321642872)
Restaurante Èter,POINT (441297.5793937778 4471631.115997063)
Verdoy,POINT (440814.4707446879 4474877.771736648)
Tasty Poke Bar,POINT (440219.2347413205 4476041.540238529)
,POINT (442543.6476293523 4478413.703666144)
Rolenka,POINT (439981.0044776057 4474202.429121943)
La Mordida,POINT (441246.48883448436 4478389.236156547)
El abuelo,POINT (443046.84375141584 4479354.592559684)
Rey de Tallarines,POINT (440444.9256824473 4475884.399941581)
Clandestino Burger,POINT (440413.16337400384 4476151.712863988)
Sr.Ito,POINT (440578.20720136404 4475853.669690248)
Lauricca,POINT (440586.36834023386 4475828.095608025)
La Casa de las Brasas,POINT (441311.8200313516 4471637.465140856)
Taberna del Colono,POINT (440313.3473713685 4475601.6688718945)
Cardinale,POINT (440312.1692370579 4475591.143704662)
La Dominguita,POINT (440277.5714532976 4475439.4620695785)
,POINT (440427.9474238892 4475364.157079484)
Braseria peruana,POINT (437352.26867704047 4471792.231827165)
Gran siglo,POINT (440710.6479121029 4471825.540115091)
El Madroño,POINT (439938.9796128713 4473953.42243001)
Il Cono,POINT (440709.5624625191 4474839.4154982865)
Gran Clavel,POINT (440652.4318954518 4474563.949596165)
Pacifico,POINT (441120.1009568542 4474830.58466565)
DaDam,POINT (440485.3599581305 4477964.65039874)
Restaurante Krápula,POINT (441999.05625132576 4475026.79562783)
Troquel,POINT (442238.02837820916 4474986.997144688)
El Economato,POINT (440895.558180704 4475086.434824891)
Dolmen de Axeitos,POINT (446232.0938813647 4470309.001269081)
Habanera,POINT (441319.51021887443 4475197.5846258765)
Le Petit,POINT (441095.26334352046 4475253.037601859)
Bloved,POINT (440707.6418007958 4474516.146207809)
El Castizo de Alcalá,POINT (440620.637661814 4474377.044290442)
El Barril de las Cortes,POINT (440713.68057275005 4474239.103846521)
El Fontán,POINT (440556.81929493713 4474214.503608467)
Aviseu,POINT (439688.12868386746 4473353.591085586)
Foster's Hollywood,POINT (439951.8224935741 4481178.263372424)
Casa Wang,POINT (439111.4517563959 4473820.716764058)
El Ducado,POINT (438951.88532909646 4473878.383549125)
Terraza del Palacio de Correos,POINT (441297.0166035631 4474501.594896545)
Sapore di Sicilia,POINT (444192.5195749972 4476350.837718603)
El Chaparrito,POINT (439753.2444294208 4474137.962684707)
Namaste Madrid,POINT (440877.8481255631 4478957.375805324)
,POINT (438837.15641360503 4474676.626642845)
el aliño,POINT (441415.3695054458 4476156.38657414)
Mussu,POINT (444234.3803967744 4478331.907262045)
La Carab,POINT (439574.34225322265 4473502.634389594)
V Modern Italian,POINT (442583.8778038581 4475753.057760753)
Bengol India,POINT (441056.67991299025 4473085.874367169)
El Telégrafo,POINT (441899.3604172165 4479007.267907243)
Alameda,POINT (449465.08569541725 4477972.939506273)
Órale Carajo,POINT (438708.2333889063 4480617.367297548)
Restaurante El Segoviano,POINT (442007.91941678186 4472931.286967406)
Ranchburger,POINT (442175.86858760426 4472858.069548662)
Royal,POINT (442183.0621179564 4472854.428604209)
Restaurante Cascanueces,POINT (446541.8734288293 4476418.747162126)
Juka II,POINT (446517.8502244741 4476417.198035248)
Pica y Come,POINT (437929.75131175487 4470806.431982696)
Gerardo,POINT (442921.55365847936 4475535.325918177)
Los Tejares Bajos,POINT (442928.553541814 4475552.223242908)
Los Tejares Bajos 2,POINT (442903.20226282737 4475553.89273468)
El Barril de Alcántara,POINT (442856.4873962377 4475558.43373597)
20 a la cata,POINT (442712.0196078214 4475359.359301882)
Tostas & Tapas,POINT (442362.97515663045 4475283.787259226)
99 Sushi Bar,POINT (441587.6459608511 4475320.749728754)
Restaurante Her,POINT (441568.39656927326 4475322.809094923)
Foster's Hollywood,POINT (437191.20554783964 4470858.455398423)
Wainari,POINT (440161.127856605 4476137.947405267)
Nudista,POINT (440689.9107782855 4475884.155229484)
Aroy Thai,POINT (440745.6012880598 4477674.012450548)
Arrocería La Siembra,POINT (447725.2521958308 4479361.006695933)
Dong Feng,POINT (442678.97480674 4474414.916886634)
Txirimiri,POINT (442698.2527494838 4474414.036868544)
Pirulo,POINT (442546.3923888272 4474426.088865389)
Sibuya,POINT (442805.3969035309 4474405.825665333)
Pulpería Botafumeiro,POINT (437924.1339374981 4470981.136403547)
La Villa del Narcea,POINT (440111.5527305707 4476153.340544987)
La Bruschettería de Françoise,POINT (440072.8812412228 4476157.523894586)
lemongrass,POINT (440459.8040485161 4474518.565684291)
Bistrot Saconia,POINT (438954.81409942784 4479804.78166364)
La esquina mexicana,POINT (439707.55638877227 4473859.6253201645)
GatoGato,POINT (440929.4041968454 4473517.1249981765)
Il Regno di Napoli,POINT (440320.19795646373 4475487.23285637)
Loft 39,POINT (441957.2590620263 4475270.156438585)
Goiko Gril,POINT (440893.49064822 4478188.149857748)
La Gastroteca de Peláez,POINT (441221.74299255724 4469613.725379349)
Pipa&Co,POINT (442176.4502784555 4478904.439104628)
lateral,POINT (440519.55412062077 4473964.102007602)
El Nido,POINT (442303.3781624654 4476224.380708897)
Yantar,POINT (440948.85303687 4473909.379267692)
Expressio Café Restaurante,POINT (441455.6420152218 4473816.655580954)
La Retirada,POINT (442695.4197115346 4474621.673075198)
El Rincón de la Rodríguez,POINT (443068.0758871985 4476862.06765019)
Sidrería El Llagar,POINT (448192.04328620055 4477341.339095509)
Restaurante Masterchef,POINT (442135.5414962257 4477162.204008503)
La Cruz Blanca,POINT (443897.74893024046 4470191.147368477)
Casa Domingo,POINT (441099.016862221 4466096.141691575)
Bar Restaurante Olavide,POINT (441218.9703284269 4480058.246253814)
Ramen Shifu,POINT (442592.9940717774 4475421.612114865)
Marengo,POINT (440879.66552898474 4474676.246564625)
De Maria,POINT (440245.31510607275 4474202.404755915)
Viejo madrid,POINT (439793.40519054263 4473754.766811884)
Asador Argentino,POINT (450189.9228899236 4477529.192519012)
La quinta de Chamartín,POINT (442677.71891829814 4478726.936059617)
Vips,POINT (442635.0326211735 4478811.983398371)
Petit Appetit,POINT (441387.59390500735 4476346.636133469)
Honest Greens,POINT (440803.82451218355 4475147.501986034)
Fathe Pur,POINT (442857.41724473634 4474367.3206230765)
Mayor Taperia 2,POINT (440199.96920823975 4474060.3670047745)
Bar Santa Elena,POINT (439725.60368945857 4477658.285852657)
Pe de Pisco,POINT (440465.236191378 4474422.701628898)
La Sureña,POINT (441495.6755875788 4484594.472775912)
Ciento un vinos,POINT (450704.16226093745 4480306.315573963)
La Golondrina,POINT (440585.4286701261 4476361.047040958)
Chinorris,POINT (442126.780855517 4467478.482364761)
Lev,POINT (440879.9303687932 4473899.676509239)
Eduardo Cervecería,POINT (439849.51206794643 4474132.793852946)
A Pota D'Ouro,POINT (438858.3145514604 4473751.5989892)
Humo,POINT (443386.8200729372 4472146.300015793)
La Kika,POINT (440834.5549085554 4474739.509897936)
Nomada,POINT (440830.0466985203 4474640.216817328)
Propaganda,POINT (440844.58924830647 4474709.13701369)
Ex Libris,POINT (440852.6787186528 4474619.35768982)
100 Montaditos,POINT (440862.04204210604 4479117.17357115)
El percebe de Cedeira,POINT (440868.248293004 4479114.982100716)
Tao 369,POINT (443113.2265054409 4481164.899095586)
Mesón Pepe’s,POINT (443176.38182986155 4481567.219416361)
Arte 14,POINT (443154.75988626137 4481581.80353867)
Taberna La Ola,POINT (443066.40726380394 4481450.710063521)
Laventana Verde,POINT (443065.52387531684 4481477.1919895355)
Arte Buen Llantar,POINT (443066.98256278835 4481466.157877814)
Barrilón,POINT (443464.2078120389 4481583.232360096)
Vips,POINT (441865.0326023555 4480869.602372623)
El tinglao,POINT (447424.63655703363 4478458.894200603)
Peggy Sue's,POINT (447444.7909313476 4478552.907557623)
La Pausa,POINT (441820.00230669795 4481278.237658981)
Il Consigliere,POINT (438528.33544094977 4479583.214779218)
Corner 105,POINT (443036.3560621771 4472319.257601781)
100 Montaditos,POINT (438535.43796637 4473923.26915485)
Bang Cook,POINT (441339.86443488835 4476303.206441646)
Huacatay,POINT (442755.6460573799 4478691.694584762)
Lúbora,POINT (440920.1718947741 4478161.674997937)
Zuladna,POINT (440944.7616048237 4478151.6901912885)
Clos,POINT (440678.0325121861 4477514.008900358)
Charnela,POINT (440687.48558822967 4476530.367566741)
Asador Lorena,POINT (446779.3511868837 4469624.490351979)
Foster's Hollywood,POINT (438525.68935454555 4473232.963173552)
Restaurante Oter,POINT (441793.79661812994 4475577.346760831)
Sr.Ito,POINT (440837.4728808708 4475069.420655743)
Cruz Blanca,POINT (442475.60613925825 4474249.9766827505)
Bocavante,POINT (440487.42459586886 4475671.961512056)
Las Bridas,POINT (441248.7762637182 4476633.288306756)
Las 10 Tapas De Santa Ana,POINT (440522.6466478599 4473984.935599008)
Nina pasta bar,POINT (439853.26973797515 4473446.165251947)
Samm,POINT (443203.2828666764 4479504.29530018)
Soy Kitchen,POINT (441207.3724540081 4476385.235482222)
Vips,POINT (440664.50711317273 4476432.785735756)
La Nicoletta,POINT (441190.7842468166 4476170.534342227)
Cristina Oria,POINT (442064.62490592466 4475761.916432004)
Vila Brasil,POINT (442957.0089359257 4474353.241456928)
Asador Limbo,POINT (440601.76102672314 4475190.850263347)
Palo cortado,POINT (440856.17355936836 4476885.954427034)
Tapería Tía Tola,POINT (440589.4379913915 4472192.663815085)
Mesón Calzada,POINT (440411.1405164193 4475755.478743872)
Jumbo,POINT (450903.9844125243 4480177.512586618)
Bar Castilla,POINT (451216.049015949 4480451.851633202)
La Lupita,POINT (441216.6048987482 4476484.114458234)
Ponteareas,POINT (441855.1892422351 4475982.032661626)
Vamos al indio,POINT (439589.4493674338 4477865.712455463)
La Gastro,POINT (440370.4694733809 4474755.830976745)
Puerto Maior,POINT (442314.0415153854 4471767.062502551)
Doñaluz sky rooftop,POINT (440385.0617910172 4474353.626602768)
Umo,POINT (441517.2997644265 4476314.840387156)
El Exquisito,POINT (443226.385012678 4482502.019805164)
Lobsterie,POINT (440879.1939775264 4474924.094632082)
