name,geometry_resto
Arrocería Balear,POINT (433268.6274739459 4477428.088631463)
El Patio de Atocha,POINT (440519.525881206 4473832.193204974)
Restaurante Bienmesabe,POINT (441919.25042535923 4479506.390001567)
Perla del Pacífico,POINT (443246.39096689766 4471914.294052491)
,POINT (433941.1245386712 4487243.530101376)
Ría del Sella,POINT (450722.8980324 4481106.971817147)
Café El Espejo,POINT (441353.4196629558 4475041.632612006)
El Bund,POINT (444169.7713859086 4478656.893533501)
La Qchara de Pachi Chamartín,POINT (442758.19120216393 4480904.309577829)
Muxia,POINT (445204.595187714 4469453.215747432)
La Manzana,POINT (433929.1376325404 4473727.628802631)
Gainza,POINT (441076.0934615073 4466600.039946959)
Peña Francia,POINT (440572.8293093691 4466760.653208867)
El Asador de Enrique,POINT (440395.36575300293 4466673.509754527)
Superfuüd,POINT (442280.31961185305 4478156.450523042)
Revival Café Madrid,POINT (431375.7209316458 4479810.618549117)
Filandón,POINT (439271.07966704265 4484036.574432409)
Restaurante Los Amigos,POINT (450533.73537982226 4478001.02558341)
Restaurante Casa Luis,POINT (450662.0192209487 4478029.184748475)
Pepe's Mesón Restaurante,POINT (443178.07362514513 4481567.88370723)
La Negra Tomasa,POINT (440408.55910691107 4474150.264416598)
La Chuleteria de las Cárcavas,POINT (446113.35401086695 4481452.082794372)
Fortuny Home Club,POINT (441479.2010175268 4476221.825685475)
Kalenda,POINT (436157.6922265454 4471011.795992793)
Asador Pikondo,POINT (436154.2747544845 4471024.157971639)
Casa Narcisa,POINT (441752.99735037 4480364.946367992)
La Parrilla Del Pinar,POINT (443409.4733345877 4481616.271258477)
Beef Place Restaurante,POINT (444188.4850828688 4478910.4812579835)
,POINT (440378.05188798794 4477633.570216952)
Gallardo,POINT (440600.5181816462 4467377.557053621)
Casa Conel,POINT (440668.3843405519 4467316.833749244)
Renato,POINT (440177.3284846046 4466912.061041105)
Restaurante Sal Negra,POINT (442250.5993339696 4479882.29345248)
Museo del Jamón,POINT (440131.0894954491 4474207.956116088)
Chiquita,POINT (440099.86500603246 4474148.317427671)
Botín,POINT (439933.40936627256 4473968.78597411)
La Taberna de la Daniela,POINT (439936.1876032703 4474001.022258807)
Las Cuevas de Luis Candelas,POINT (439920.0100367601 4474044.799706218)
Café de La Paloma,POINT (439253.0915583223 4478900.604773129)
Cañas y tapas,POINT (440275.1088187894 4476016.007089668)
Autoservicio,POINT (432195.6327424247 4470521.121450662)
Polo,POINT (454732.18131328735 4477546.370806834)
A'Brasas,POINT (438393.701616738 4470145.14004932)
Lar de Domingo,POINT (435283.803137028 4485104.915925935)
El Merendero,POINT (436365.28003592463 4473593.863842395)
Nájera,POINT (439497.77063256205 4476276.383360352)
Asador Ricardo,POINT (434020.50007771753 4485904.539377904)
Bar Restaurante Emaus,POINT (442456.8132044318 4474656.736133042)
Fass,POINT (442472.12725274183 4478087.793159923)
La Tragantía,POINT (442575.9377665122 4478059.799692225)
La Ancha,POINT (442544.7961151221 4477853.877008074)
La Vaca Picada,POINT (443478.91473788087 4484441.747848539)
BLT - Barra Libre de Tapas,POINT (450719.189564132 4480195.156069614)
,POINT (440420.24320724845 4474979.790834085)
Lupara Bar,POINT (450345.4199416205 4480054.985466062)
El Liberal,POINT (450194.22993506695 4480057.5775877265)
La Estrella de Oriente,POINT (450549.68299092783 4480100.310479475)
Tria,POINT (441707.75686790777 4480967.15839938)
Pulpería Las Torres,POINT (441707.71180211654 4480997.27506328)
Lobato,POINT (444847.3533642974 4480401.541822854)
Popa,POINT (443187.09357050684 4479272.558394346)
La Mano de Pablo,POINT (443118.70919284504 4484711.276808595)
Beefcious,POINT (443215.219670014 4484792.5996241085)
La Mezza,POINT (443269.29203534406 4484757.032757909)
,POINT (443409.9215819277 4484159.955620167)
El Mesón de Fuencarral,POINT (441261.4257454172 4486695.900413656)
100 Montaditos,POINT (443550.8620734805 4481928.409259398)
Foster's Hollywood,POINT (443535.88730981824 4481960.081620067)
,POINT (441629.8884323815 4482181.455438742)
Los Montes de Galicia,POINT (443320.7442487375 4476226.073035297)
El meson de la Piovera,POINT (447759.37255055225 4478174.275505296)
Lady Macao,POINT (443360.2498025313 4484373.222186255)
El Vergel,POINT (438500.4294942276 4475087.799540424)
El Urogallo,POINT (438653.6915738851 4474981.752717)
El Inti de Oro,POINT (440698.2473725589 4474123.268514544)
El Subastero de Málaga,POINT (440682.1618612695 4474217.806795482)
Restaurante La Catedral,POINT (440522.4312767756 4474233.7251617545)
Artemisa,POINT (440699.2539087491 4474166.852804072)
El Tronco,POINT (440672.58602893155 4474075.605530848)
Anarkoli,POINT (440410.6184016833 4473454.903233469)
Achuri,POINT (440767.84851098346 4473291.025066954)
La Buga del Lobo,POINT (440629.7225038698 4473387.749291616)
Yin He,POINT (436404.4471081015 4472448.81077272)
