name,cod_distrito,distrito,geometry
Alameda,20,San Blas-Canillejas,POINT (-3.5959596 40.4508798)
Alameda,4,Salamanca,POINT (-3.686507 40.4237889)
Alba,11,Carabanchel,POINT (-3.7448207 40.3768289)
Albania,1,Centro,POINT (-3.7030965 40.4121062)
Albariño,21,Barajas,POINT (-3.5815171 40.4721981)
Albor,2,Arganzuela,POINT (-3.6879215 40.4011963)
Alcaravea,4,Salamanca,POINT (-3.6810288 40.4321296)
Alcaravea,7,Chamberí,POINT (-3.7106286 40.4390302)
Alcaravea Gaztambide,9,Moncloa-Aravaca,POINT (-3.7152002 40.4381918)
Alcobilla,7,Chamberí,POINT (-3.7134029 40.4334361)
Alconada,2,Arganzuela,POINT (-3.6999893 40.3997057)
Alduccio,5,Chamartín,POINT (-3.688277 40.4518098)
Alegría,10,Latina,POINT (-3.7528223 40.3899185)
Alfredo's Barbacoa,5,Chamartín,POINT (-3.6872821 40.4605707)
Alfredo's Barbacoa,4,Salamanca,POINT (-3.6859171 40.4214299)
Algarabía,1,Centro,POINT (-3.7104434 40.4175734)
Alistano,10,Latina,POINT (-3.7327981 40.3960494)
All U Can Eat,1,Centro,POINT (-3.7034534 40.4176411)
All U Can Eat,1,Centro,POINT (-3.7027399 40.4179741)
Allô Pizza,5,Chamartín,POINT (-3.6881688 40.4597465)
Alma Cheli Matadero,2,Arganzuela,POINT (-3.6969428 40.3930469)
Alma Llanera,1,Centro,POINT (-3.7026065 40.4223979)
Alma Of Spain,7,Chamberí,POINT (-3.7009564 40.4383491)
Almagro,7,Chamberí,POINT (-3.6944749 40.4285807)
Alpino,8,Fuencarral-El Pardo,POINT (-3.7047614 40.4850224)
Alquitara,3,Retiro,POINT (-3.6783084 40.4019781)
Alright,4,Salamanca,POINT (-3.687298 40.4368876)
Alright,8,Fuencarral-El Pardo,POINT (-3.7011811 40.4825986)
Alta Burgersía,1,Centro,POINT (-3.6998359 40.4133661)
Altivole,21,Barajas,POINT (-3.6088036 40.4884313)
Amano,1,Centro,POINT (-3.6997425 40.4135755)
Amar La Mar,1,Centro,POINT (-3.7089582 40.4163296)
Amazonia Chic,6,Tetuán,POINT (-3.707762 40.4791175)
Amazonia Chic,20,San Blas-Canillejas,POINT (-3.5866815 40.4459111)
Amazonico,4,Salamanca,POINT (-3.6851375 40.4237074)
Amicis,1,Centro,POINT (-3.7093521 40.4149688)
Amigos,1,Centro,POINT (-3.7022407 40.4160388)
Amor D Madre,18,Villa de Vallecas,POINT (-3.6264385 40.374562)
Amor al Plato,6,Tetuán,POINT (-3.7022205 40.4665158)
Amordidas,18,Villa de Vallecas,POINT (-3.595425 40.368165)
Amores,1,Centro,POINT (-3.6977557 40.4103465)
Ampudia,9,Moncloa-Aravaca,POINT (-3.7149732 40.443662)
Amé Rico,1,Centro,POINT (-3.7114591 40.4173207)
Ana la Santa,1,Centro,POINT (-3.7014729 40.4144948)
Anarkoli,1,Centro,POINT (-3.7023086 40.4095795)
Anauco,19,Vicálvaro,POINT (-3.5523733 40.4086646)
Anauco,1,Centro,POINT (-3.6991532 40.4200819)
Anaur,7,Chamberí,POINT (-3.7017404 40.4324986)
Anda Jaleo,1,Centro,POINT (-3.7105048 40.4173156)
Andarica,1,Centro,POINT (-3.7076475 40.4144821)
Andes,7,Chamberí,POINT (-3.7102617 40.4390213)
Andoriña,6,Tetuán,POINT (-3.6989858 40.4588017)
Andrea,4,Salamanca,POINT (-3.6700562 40.4272752)
Anema e Core,1,Centro,POINT (-3.7083295 40.4179822)
Angelita,1,Centro,POINT (-3.7003729 40.4203519)
Anica Waksman,5,Chamartín,POINT (-3.6889683 40.4561876)
Anime Ramen,1,Centro,POINT (-3.7004031 40.4130788)
Ankara,6,Tetuán,POINT (-3.6938006 40.4678569)
Annapurna,6,Tetuán,POINT (-3.6951971 40.4587067)
Annapurna Tandoori,16,Hortaleza,POINT (-3.6437283 40.4694734)
Anpe,8,Fuencarral-El Pardo,POINT (-3.7253691 40.4955515)
Anta,2,Arganzuela,POINT (-3.6936871 40.3916886)
Anthony's Place,7,Chamberí,POINT (-3.704744 40.4302412)
Antigua Huevería,7,Chamberí,POINT (-3.7039381 40.4258139)
Antigua Taquería,1,Centro,POINT (-3.7041665 40.4095063)
Anto III,1,Centro,POINT (-3.7079316 40.4234432)
Antoinette,1,Centro,POINT (-3.7066739 40.4197484)
Antonia Pizza,7,Chamberí,POINT (-3.7041015 40.4264589)
Antoñita,7,Chamberí,POINT (-3.7021983 40.4323844)
Apolo,1,Centro,POINT (-3.7041644 40.4125686)
Aquí Galicia,4,Salamanca,POINT (-3.6709814 40.4285588)
Arahy,1,Centro,POINT (-3.6898222 40.4196532)
Araldo,1,Centro,POINT (-3.6980761 40.417578)
Aram,7,Chamberí,POINT (-3.7119019 40.4307733)
Arbonaida,1,Centro,POINT (-3.7106873 40.4164826)
Arcade,6,Tetuán,POINT (-3.7001522 40.4573094)
Arcade,1,Centro,POINT (-3.7115508 40.4152606)
Ardemos,7,Chamberí,POINT (-3.7031527 40.4293089)
Arepa's,9,Moncloa-Aravaca,POINT (-3.7189575 40.4354442)
Arequepay,2,Arganzuela,POINT (-3.6957045 40.403306)
Arequepay,7,Chamberí,POINT (-3.7144296 40.4310965)
Ariza,1,Centro,POINT (-3.6986251 40.4171064)
Arjona,13,Puente de Vallecas,POINT (-3.6461959 40.3837301)
Armonia & Te,4,Salamanca,POINT (-3.6724675 40.4335317)
Aroma,1,Centro,POINT (-3.6989759 40.415914)
Aromas,4,Salamanca,POINT (-3.68181 40.4261049)
Aroy Thai,6,Tetuán,POINT (-3.6987541 40.4476111)
Arrabal,1,Centro,POINT (-3.7080496 40.4157731)
Arrocería Balear,9,Moncloa-Aravaca,POINT (-3.7868926 40.4448292)
Arrocería Daniela,1,Centro,POINT (-3.7046529 40.4143973)
Arrocería Formentera,8,Fuencarral-El Pardo,POINT (-3.7105429 40.504524)
