name,cod_distrito,distrito,geometry
Cartel de Mala,7,Chamberí,POINT (-3.7037 40.4336)
Carthago,6,Tetuán,POINT (-3.7033 40.4582)
Casa 28,7,Chamberí,POINT (-3.7037 40.4336)
Casa 9,1,Centro,POINT (-3.7039 40.4165)
Casa Adriano,6,Tetuán,POINT (-3.7033 40.4582)
Casa Alberto,1,Centro,POINT (-3.7039 40.4165)
Casa Amadeo Los Caracoles,1,Centro,POINT (-3.7039 40.4165)
Casa Andreea,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Casa Antonio Cortijo De Camas,5,Chamartín,POINT (-3.6781 40.4518)
Casa Aparicio,12,Usera,POINT (-3.7072 40.381)
Casa Bao V,3,Retiro,POINT (-3.6767 40.411)
Casa Benigna,5,Chamartín,POINT (-3.6781 40.4518)
Casa Benito,7,Chamberí,POINT (-3.7037 40.4336)
Casa Benteveo,1,Centro,POINT (-3.7039 40.4165)
Casa Boni,1,Centro,POINT (-3.7039 40.4165)
Casa Botías,11,Carabanchel,POINT (-3.7409 40.3823)
Casa Bulgogi,7,Chamberí,POINT (-3.7037 40.4336)
Casa Bustos,3,Retiro,POINT (-3.6767 40.411)
Casa Carmen,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Casa Carmen,2,Arganzuela,POINT (-3.6975 40.3989)
Casa Carmen,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Casa Carola,4,Salamanca,POINT (-3.678 40.4297)
Casa Ciriaco,1,Centro,POINT (-3.7039 40.4165)
Casa Cometa bar de vinos,1,Centro,POINT (-3.7039 40.4165)
Casa Conel,17,Villaverde,POINT (-3.6921 40.3401)
Casa Coronel,10,Latina,POINT (-3.745 40.3967)
Casa Corrochano,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Casa Crimi,4,Salamanca,POINT (-3.678 40.4297)
Casa Curro,1,Centro,POINT (-3.7039 40.4165)
Casa Dani,4,Salamanca,POINT (-3.678 40.4297)
Casa Domingo,4,Salamanca,POINT (-3.678 40.4297)
Casa Domingo,17,Villaverde,POINT (-3.6921 40.3401)
Casa Ecuador,2,Arganzuela,POINT (-3.6975 40.3989)
Casa Egido,2,Arganzuela,POINT (-3.6975 40.3989)
Casa Elías,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Casa Enriqueta,2,Arganzuela,POINT (-3.6975 40.3989)
Casa Fidel,1,Centro,POINT (-3.7039 40.4165)
Casa Filete,7,Chamberí,POINT (-3.7037 40.4336)
Casa Finis,10,Latina,POINT (-3.745 40.3967)
Casa Florencio,16,Hortaleza,POINT (-3.6457 40.4746)
