zona,nombre,direccion,latitud,longitud,rating,usuarios,precio,tipos
barajas,Universo Kebab El Turco Barajas,"Calle Timón, 26, Madrid",40.4732231,-3.5835198,3.5,419.0,1.0,"restaurant, food, point_of_interest, establishment"
barajas,RESTAURANTE BAR CAFETERIA BARAJAS J´L,"Plaza del Jubilado, 2, Madrid",40.4745284,-3.5767921,4.6,166.0,,"bar, restaurant, food, point_of_interest, establishment"
barajas,Pakistani Restaurante Barajas (Halal),"Calle Aguetol, 10, Madrid",40.4701173,-3.5832858,5.0,17.0,,"restaurant, food, point_of_interest, establishment"
barajas,机场麦当劳,Timón,40.4690266,-3.5819262,,,,"restaurant, food, point_of_interest, establishment"
barajas,La Muralla,"Calle de Alar del Rey, 9, Madrid",40.4700108,-3.5833064,4.0,241.0,2.0,"restaurant, food, point_of_interest, establishment"
barajas,Estrella De Oriente,"Calle de Alar del Rey, 9, Madrid",40.4700108,-3.5833064,3.8,28.0,,"restaurant, food, point_of_interest, establishment"
barajas,Piazzere,"Calle Aguetol, 2, Madrid",40.4701873,-3.583917,4.5,123.0,,"restaurant, food, point_of_interest, establishment"
barajas,Hungry Club,"Avenida de Logroño, Madrid",40.4751301,-3.5823333,3.2,204.0,,"restaurant, food, point_of_interest, establishment"
barajas,Bar Mesón La Alternativa,"Calle de Pajarones, s/n, Madrid",40.47543030000001,-3.5819338,3.9,141.0,1.0,"restaurant, food, point_of_interest, establishment"
barajas,Padam Bistro,"Calle de Saturno, 80, Madrid",40.4753874,-3.5820512,4.7,82.0,,"restaurant, food, point_of_interest, establishment"
